np_str_id;durchschnitt_besetzung_tag;jahr;tage
10000;1416,606;2010;Mo-Fr
10004;1092,724;2010;Mo-Fr
10006;1248,905;2010;Mo-Fr
10014;2509,675;2010;Mo-Fr
10026;8272,944;2010;Mo-Fr
10030;8214,59;2010;Mo-Fr
10040;5636,27;2010;Mo-Fr
10042;5436,137;2010;Mo-Fr
10044;5497,051;2010;Mo-Fr
10046;5178,088;2010;Mo-Fr
10050;5252,166;2010;Mo-Fr
10052;6634,147;2010;Mo-Fr
10054;5357,911;2010;Mo-Fr
10056;2251,338;2010;Mo-Fr
10058;1587,91;2010;Mo-Fr
10060;1321,233;2010;Mo-Fr
10062;1206,803;2010;Mo-Fr
10068;143,972;2010;Mo-Fr
10072;819,457;2010;Mo-Fr
10074;1163,738;2010;Mo-Fr
10076;1278,622;2010;Mo-Fr
10080;1639,929;2010;Mo-Fr
10084;1500,801;2010;Mo-Fr
10086;1492,154;2010;Mo-Fr
10088;1429,491;2010;Mo-Fr
10090;1430,553;2010;Mo-Fr
10092;1266,548;2010;Mo-Fr
10094;1257,986;2010;Mo-Fr
10096;1258,106;2010;Mo-Fr
10098;2289,905;2010;Mo-Fr
10100;2290,367;2010;Mo-Fr
10102;2668,287;2010;Mo-Fr
10104;13009,546;2010;Mo-Fr
10108;3073,768;2010;Mo-Fr
10110;3146,173;2010;Mo-Fr
10114;2565,272;2010;Mo-Fr
10122;1327,851;2010;Mo-Fr
10124;1603,381;2010;Mo-Fr
10126;1520,485;2010;Mo-Fr
10130;1516,77;2010;Mo-Fr
10132;1762,166;2010;Mo-Fr
10134;1863,025;2010;Mo-Fr
10136;2036,987;2010;Mo-Fr
10140;2129,195;2010;Mo-Fr
10142;4432,389;2010;Mo-Fr
10144;4967,004;2010;Mo-Fr
10146;488,581;2010;Mo-Fr
10150;406,095;2010;Mo-Fr
10152;6811,92;2010;Mo-Fr
10160;4957,785;2010;Mo-Fr
10162;5877,423;2010;Mo-Fr
10164;5991,35;2010;Mo-Fr
10166;6508,827;2010;Mo-Fr
10168;7083,714;2010;Mo-Fr
10170;6896,802;2010;Mo-Fr
10172;6435,302;2010;Mo-Fr
10174;5873,368;2010;Mo-Fr
